POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"2630",BARNSTABLE,NON UNIQUE,BARNSTABLE,"03600",BARNSTABLE,BARNSTABLE,4.29315241,"2630",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000003G,GP WELL  3,GW,"10005",WELL #3 & WELL #4,EP,,,2023/10/17 00:00:00,110311R,PFOS,0.004,µg/L,EPA 533,=,0.0071,SE2,AM,"1",MA,,"2630"
"1824",CHELMSFORD,NON UNIQUE,CHELMSFORD,"13100","CHELMSFORD, TOWN OF",MIDDLESEX,18.1405142,"1824",MA3056000,CHELMSFORD WATER DISTRICT,L,"9",Riverneck WTP,GW,"1305",Entry Point to Dist. System,EP,,,2023/12/27 00:00:00,810-89127-1,PFOS,0.004,µg/L,EPA 533,=,0.0053,SE1,AM,"1",MA,,"1824"
"1775",STOW,NON UNIQUE,STOW,"68015","STOW, TOWN OF",MIDDLESEX,17.99819497,"1775",MA2002000,ACTON WATER SUPPLY DISTRICT,L,"32",South Acton WTP,GU,MULT14,Entry Point to the Distribution System,EP,,,2023/12/06 00:00:00,810-87135-1,PFOS,0.004,µg/L,EPA 533,=,0.0047,SE4,AM,"1",MA,,"1775"
"2081",WALPOLE,NON UNIQUE,WALPOLE,"72460","WALPOLE, TOWN OF",NORFOLK,17.88059135,"2081",MA4307000,WALPOLE WATER DEPT,L,"58",Edward J. Delaney WTP,GW,"10355",Entry Point to Dist. System,EP,,,2024/02/07 00:00:00,L2406618-01,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"2081"
"1969",ROWLEY,NON UNIQUE,ROWLEY,"58370","ROWLEY, TOWN OF",ESSEX,17.76656333,"1969",MA3254000,ROWLEY WATER DEPARTMENT,S,325400002G,HAVERHILL ST. GP WELL 2,GW,"10002",HAVERHILL ST. GP WELL # 2,EP,,,2023/07/10 00:00:00,105843P,PFOS,0.004,µg/L,EPA 533,=,0.0055,SE2,AM,"1",MA,,"1969"
"2066",SCITUATE,NON UNIQUE,SCITUATE,"60295","SCITUATE, TOWN OF",PLYMOUTH,16.79866201,"2066",MA4264000,SCITUATE WATER DIVISION,L,"90003",Wells #19 & 22R,GW,"4337",Entry Point to Dist. System,EP,,,2023/08/23 00:00:00,810-75418-1,PFOS,0.004,µg/L,EPA 533,=,0.0048,SE2,AM,"1",MA,,"2066"
"1778",WAYLAND,NON UNIQUE,WAYLAND,"73755","WAYLAND, TOWN OF",MIDDLESEX,15.89426224,"1778",MA3315000,WAYLAND WATER DEPARTMENT,L,"18",Chamberlain GP Well,GW,"10008",Entry Point to Dist. System,EP,,,2023/10/18 00:00:00,L2362102-01,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"1778"
"1527",MILLBURY,NON UNIQUE,MILLBURY,"41305","MILLBURY, TOWN OF",WORCESTER,16.44778635,"1527",MA2186000,"AQUARION WATER COMPANY, MILLBURY",S,218600001G,MILLBURY AVE DUG WELL (24 WIDE),GU,01G,TREATED: MILLBURY AVENUE WELL,EP,,,2023/09/26 00:00:00,107789P,PFOS,0.004,µg/L,EPA 533,=,0.0057,SE3,AM,"1",MA,,"1527"
"1951",NEWBURY,NON UNIQUE,NEWBURY,"45175","NEWBURY, TOWN OF",ESSEX,17.72522513,"1951",MA3206000,NEWBURYPORT WATER DEPARTMENT,L,"5",Newburyport WTP,MX,"19393",Entry Point to Dist. System,EP,,,2024/02/06 00:00:00,M4A0284-01,PFOS,0.004,µg/L,EPA 533,=,0.0046,SE1,AM,"1",MA,,"1951"
"2668",WEST BARNSTABLE,NON UNIQUE,WEST BARNSTABLE,"74805",BARNSTABLE,BARNSTABLE,16.91601285,"2668",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000003G,GP WELL  3,GW,"10005",WELL #3 & WELL #4,EP,,,2023/10/17 00:00:00,110311R,PFOS,0.004,µg/L,EPA 533,=,0.0071,SE2,AM,"1",MA,,"2668"
"2339",HANOVER,NON UNIQUE,HANOVER,"28250","HANOVER, TOWN OF",PLYMOUTH,15.61457403,"2339",MA4122000,"HANOVER WATER DEPT, MA",L,"22",Pond Street TP,GW,"15682",Entry Point to Dist. System,EP,,,2023/08/22 00:00:00,810-75000-1,PFOS,0.004,µg/L,EPA 533,=,0.0114,SE1,AM,"1",MA,,"2339"
"2356",NORTH EASTON,NON UNIQUE,NORTH EASTON,"47625","EASTON, TOWN OF",BRISTOL,14.25556434,"2356",MA4088000,EASTON WATER DIV,L,"90002",Well #1,GW,"90002",Entry Point to Dist. System,EP,,,2023/07/12 00:00:00,810-69492-1,PFOS,0.004,µg/L,EPA 533,=,0.0163,SE2,AM,"1",MA,,"2356"
"1982",SOUTH HAMILTON,NON UNIQUE,SOUTH HAMILTON,"64215","HAMILTON, TOWN OF",ESSEX,14.81697173,"1982",MA3119000,HAMILTON WATER DEPT,S,3119000058G,"IDLEWOOD WTF, FINISHED (05G-08G)",GW,"10020","IDLEWOOD WTF, FINISHED (05G-08G)",EP,,,2023/10/02 00:00:00,108777P,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"1982"
"2375",SOUTH EASTON,NON UNIQUE,SOUTH EASTON,"63725","EASTON, TOWN OF",BRISTOL,14.81273801,"2375",MA4088000,EASTON WATER DIV,L,"90002",Well #1,GW,"90002",Entry Point to Dist. System,EP,,,2023/07/12 00:00:00,810-69492-1,PFOS,0.004,µg/L,EPA 533,=,0.0163,SE2,AM,"1",MA,,"2375"
"1949",MIDDLETON,NON UNIQUE,MIDDLETON,"41130","MIDDLETON, TOWN OF",ESSEX,14.50522906,"1949",MA3071000,DANVERS WATER DEPT.,L,"90001",Well #2,GW,"10208",Well #2 Finish Water,EP,,,2023/12/18 00:00:00,M3J0733-03,PFOS,0.004,µg/L,EPA 533,=,0.0052,SE1,AM,"1",MA,,"1949"
"2184",BRAINTREE,NON UNIQUE,BRAINTREE,"07700","BRAINTREE, TOWN OF",NORFOLK,14.42976096,"2184",MA4040000,BRAINTREE WATER AND SEWER DEPT.,L,"10182",Great Pond Treatment Plant,SW,"10182",Finished Water,EP,,,2023/06/26 00:00:00,Q2324399001,PFOS,0.004,µg/L,EPA 533,=,0.0075,SE2,AM,"1",MA,,"2184"
"2054",MILLIS,NON UNIQUE,MILLIS,"41480","MILLIS, TOWN OF",NORFOLK,11.97150548,"2054",MA2187000,MILLIS WATER DEPT,S,218700003G,WELL 3,GW,03G,FINISHED: WELL #3 VILLAGE ST. WTF,EP,,,2023/11/07 00:00:00,109530P,PFOS,0.004,µg/L,EPA 533,=,0.0072,SE2,AM,"1",MA,,"2054"
"1985",WEST NEWBURY,NON UNIQUE,WEST NEWBURY,"77115","WEST NEWBURY, TOWN OF",ESSEX,14.04268244,"1985",MA3206000,NEWBURYPORT WATER DEPARTMENT,L,"5",Newburyport WTP,MX,"19393",Entry Point to Dist. System,EP,,,2024/02/06 00:00:00,M4A0284-01,PFOS,0.004,µg/L,EPA 533,=,0.0046,SE1,AM,"1",MA,,"1985"
"1923",DANVERS,NON UNIQUE,DANVERS,"16285","DANVERS, TOWN OF",ESSEX,13.79238767,"1923",MA3071000,DANVERS WATER DEPT.,L,"90001",Well #2,GW,"10208",Well #2 Finish Water,EP,,,2023/12/18 00:00:00,M3J0733-03,PFOS,0.004,µg/L,EPA 533,=,0.0052,SE1,AM,"1",MA,,"1923"
"2762",PLAINVILLE,NON UNIQUE,PLAINVILLE,"54065","PLAINVILLE, TOWN OF",NORFOLK,11.53309661,"2762",MA4238000,PLAINVILLE WATER DEPARTMENT,S,10125G,"WELL 1, 1A,2, 2A, 5",GU,"10005","MULTIPLE WELLS#1,#2,#5",EP,,,2023/11/08 00:00:00,109541P,PFOS,0.004,µg/L,EPA 533,=,0.0059,SE4,AM,"1",MA,,"2762"
"2368",RANDOLPH,NON UNIQUE,RANDOLPH,"55990","RANDOLPH, TOWN OF",NORFOLK,10.91509072,"2368",MA4244000,RANDOLPH WATER DEPARTMENT,L,"2",RANDOLPH/HOLBROOK WTP,SW,EP001,EP001/EPTDS from Randolph/Holbrook WTP,EP,,,2024/01/16 00:00:00,810-91511-1,PFOS,0.004,µg/L,EPA 533,=,0.009,SE4,AM,"1",MA,,"2368"
"2492",NEEDHAM,NON UNIQUE,NEEDHAM,"44140","NEEDHAM, TOWN OF",NORFOLK,9.17900439,"2492",MA3199000,NEEDHAM WATER DEPT,L,"3",Charles River WTP,GW,"10030",Entry Point to Dist. System,EP,,,2024/01/17 00:00:00,35854670003SE1,PFOS,0.004,µg/L,EPA 533,=,0.005,SE1,AM,"1",MA,,"2492"
"1719",BOXBOROUGH,NON UNIQUE,BOXBOROUGH,"07350","BOXBOROUGH, TOWN OF",MIDDLESEX,10.61615492,"1719",MA2002000,ACTON WATER SUPPLY DISTRICT,L,"32",South Acton WTP,GU,MULT14,Entry Point to the Distribution System,EP,,,2023/12/06 00:00:00,810-87135-1,PFOS,0.004,µg/L,EPA 533,=,0.0047,SE4,AM,"1",MA,,"1719"
"2675",YARMOUTH PORT,NON UNIQUE,YARMOUTH PORT,"82595","YARMOUTH, TOWN OF",BARNSTABLE,8.78231514,"2675",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000003G,GP WELL  3,GW,"10005",WELL #3 & WELL #4,EP,,,2023/10/17 00:00:00,110311R,PFOS,0.004,µg/L,EPA 533,=,0.0071,SE2,AM,"1",MA,,"2675"
"2632",CENTERVILLE,NON UNIQUE,CENTERVILLE,"12085",BARNSTABLE,BARNSTABLE,8.39696372,"2632",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000003G,GP WELL  3,GW,"10005",WELL #3 & WELL #4,EP,,,2023/10/17 00:00:00,110311R,PFOS,0.004,µg/L,EPA 533,=,0.0071,SE2,AM,"1",MA,,"2632"
"1950",NEWBURYPORT,NON UNIQUE,NEWBURYPORT,"45245",NEWBURYPORT,ESSEX,8.18952564,"1950",MA3206000,NEWBURYPORT WATER DEPARTMENT,L,"5",Newburyport WTP,MX,"19393",Entry Point to Dist. System,EP,,,2024/02/06 00:00:00,M4A0284-01,PFOS,0.004,µg/L,EPA 533,=,0.0046,SE1,AM,"1",MA,,"1950"
"2494",NEEDHAM HEIGHTS,NON UNIQUE,NEEDHAM HEIGHTS,"44175","NEEDHAM, TOWN OF",NORFOLK,3.01547389,"2494",MA3199000,NEEDHAM WATER DEPT,L,"3",Charles River WTP,GW,"10030",Entry Point to Dist. System,EP,,,2024/01/17 00:00:00,35854670003SE1,PFOS,0.004,µg/L,EPA 533,=,0.005,SE1,AM,"1",MA,,"2494"
"2032",EAST WALPOLE,NON UNIQUE,EAST WALPOLE,"20730","WALPOLE, TOWN OF",NORFOLK,2.25608698,"2032",MA4307000,WALPOLE WATER DEPT,L,"58",Edward J. Delaney WTP,GW,"10355",Entry Point to Dist. System,EP,,,2024/02/07 00:00:00,L2406618-01,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"2032"
"1607",WORCESTER,NON UNIQUE,WORCESTER,"82000",WORCESTER,WORCESTER,2.56402386,"1607",MA2186000,"AQUARION WATER COMPANY, MILLBURY",S,218600001G,MILLBURY AVE DUG WELL (24 WIDE),GU,01G,TREATED: MILLBURY AVENUE WELL,EP,,,2023/09/26 00:00:00,107789P,PFOS,0.004,µg/L,EPA 533,=,0.0057,SE3,AM,"1",MA,,"1607"
"1718",ACTON,NON UNIQUE,ACTON,"00345","ACTON, TOWN OF",MIDDLESEX,0.08209838,"1718",MA2002000,ACTON WATER SUPPLY DISTRICT,L,"32",South Acton WTP,GU,MULT14,Entry Point to the Distribution System,EP,,,2023/12/06 00:00:00,810-87135-1,PFOS,0.004,µg/L,EPA 533,=,0.0047,SE4,AM,"1",MA,,"1718"
"2071",SOUTH WALPOLE,NON UNIQUE,SOUTH WALPOLE,"65545","WALPOLE, TOWN OF",NORFOLK,0.96857856,"2071",MA4307000,WALPOLE WATER DEPT,L,"58",Edward J. Delaney WTP,GW,"10355",Entry Point to Dist. System,EP,,,2024/02/07 00:00:00,L2406618-01,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"2071"
"2637",CUMMAQUID,PO BOX,CUMMAQUID,"15970",BARNSTABLE,BARNSTABLE,0.68515272,"2637",MA4020000,BARNSTABLE FIRE DISTRICT,S,402000003G,GP WELL  3,GW,"10005",WELL #3 & WELL #4,EP,,,2023/10/17 00:00:00,110311R,PFOS,0.004,µg/L,EPA 533,=,0.0071,SE2,AM,"1",MA,,"2637"
