POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,FacilityName,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,Full Address,Latitude,Longitude,UCMR1SampleType,ZIPCODE
1420,FITCHBURG,NON UNIQUE,FITCHBURG,23875,Regional Filtration Plant,FITCHBURG,WORCESTER,31.10616995,1420,MA2097000,"FITCHBURG DPW, DIV. OF WATER SUPPLY",L,90001,SW,MULT4,Entry Point to Dist. System,EP,,,2024/03/06 0:00:00,M4B0860-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0049,SE1,AM,1,MA,Regional Filtration Plant FITCHBURG 1420 MA ,42.5834228,-71.8022955,,1420
2324,BRIDGEWATER,NON UNIQUE,BRIDGEWATER,8050,High Street Treatment Plant,"BRIDGEWATER, TOWN OF",PLYMOUTH,28.40630877,2324,MA4042000,BRIDGEWATER WATER DEPARTMENT,L,10080,GW,10080,Entry Point to Dist. System,EP,,,2023/12/13 0:00:00,L2373633-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.005,SE2,AM,1,MA,"High Street Treatment Plant BRIDGEWATER, TOWN OF 2324 MA ",42.0027333,-70.9555039,,2324
2766,NORTON,NON UNIQUE,NORTON,49935,GP Well #3,"NORTON, TOWN OF",BRISTOL,29.65786219,2766,MA4218000,NORTON WATER DEPARTMENT,L,3,GW,2018,Entry Point to Dist. System,EP,,,2024/02/07 0:00:00,810-93158-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0088,SE2,AM,1,MA,"GP Well #3 NORTON, TOWN OF 2766 MA ",41.9629235,-71.1804988,,2766
1462,LUNENBURG,NON UNIQUE,LUNENBURG,37385,Regional Filtration Plant,"LUNENBURG, TOWN OF",WORCESTER,27.82378246,1462,MA2097000,"FITCHBURG DPW, DIV. OF WATER SUPPLY",L,90001,SW,MULT4,Entry Point to Dist. System,EP,,,2024/03/06 0:00:00,M4B0860-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0049,SE1,AM,1,MA,"Regional Filtration Plant LUNENBURG, TOWN OF 1462 MA ",42.5992565,-71.7385225,,1462
2332,DUXBURY,NON UNIQUE,DUXBURY,17860,PORTER WELL,"DUXBURY, TOWN OF",PLYMOUTH,23.58936801,2332,MA4018000,TOWN OF AVON,S,401800002T,GW,10005,PORTER WELL,EP,,,2023/11/08 0:00:00,109539P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0051,SE2,AM,1,MA,"PORTER WELL DUXBURY, TOWN OF 2332 MA ",42.0342172,-70.704952,,2332
1776,SUDBURY,NON UNIQUE,SUDBURY,68225,Old Marlboro Road WTP,"SUDBURY, TOWN OF",MIDDLESEX,24.72143642,1776,MA2174000,"MAYNARD DPW, WATER DIVISION",L,10001,GW,EP01,Entry Point to Dist. System,EP,,,2023/12/04 0:00:00,M3K0554-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0071,SE1,AM,1,MA,"Old Marlboro Road WTP SUDBURY, TOWN OF 1776 MA ",42.4338652,-71.406618,,1776
1852,LOWELL,NON UNIQUE,LOWELL,37000,Lowell WTP,LOWELL,MIDDLESEX,4.98826343,1852,MA3160000,LOWELL REGIONAL WATER UTILITY,L,5,SW,1414,Entry Point to Dist. System,EP,,,2023/09/18 0:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE3,AM,1,MA,Lowell WTP LOWELL 1852 MA ,42.6303002,-71.2992993,,1852
2021,CANTON,NON UNIQUE,CANTON,11350,Pecunit St. TP,"CANTON, TOWN OF",NORFOLK,19.02226963,2021,MA4050000,CANTON WATER DEPT,L,10015,GW,EP002,Entry Point to Dist. System,EP,,,2024/01/08 0:00:00,35852662003SE1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0045,SE1,AM,1,MA,"Pecunit St. TP CANTON, TOWN OF 2021 MA ",42.1868063,-71.1343283,,2021
1754,MAYNARD,NON UNIQUE,MAYNARD,39660,Old Marlboro Road WTP,"MAYNARD, TOWN OF",MIDDLESEX,5.3755576,1754,MA2174000,"MAYNARD DPW, WATER DIVISION",L,10001,GW,EP01,Entry Point to Dist. System,EP,,,2023/12/04 0:00:00,M3K0554-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0071,SE1,AM,1,MA,"Old Marlboro Road WTP MAYNARD, TOWN OF 1754 MA ",42.4171987,-71.4452473,,1754
1905,LYNN,NON UNIQUE,LYNN,37490,Raymond Reardon WTP,LYNN,ESSEX,4.86558319,1905,MA3163000,LYNN WATER AND SEWER COMM,L,7,SW,11951,Entry Point to Dist. System,EP,,,2023/11/01 0:00:00,810-83569-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0047,SE4,AM,1,MA,Raymond Reardon WTP LYNN 1905 MA ,42.4678076,-70.9844,,1905
2630,BARNSTABLE,NON UNIQUE,BARNSTABLE,3600,GP WELL # 2,BARNSTABLE,BARNSTABLE,4.29315241,2630,MA4020000,BARNSTABLE FIRE DISTRICT,S,402000002G,GW,10008,WELL #2 AND WELL #5,EP,,,2023/02/07 0:00:00,101003P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE1,AM,1,MA,GP WELL # 2 BARNSTABLE 2630 MA ,41.7009504,-70.3063094,,2630
1824,CHELMSFORD,NON UNIQUE,CHELMSFORD,13100,Riverneck WTP,"CHELMSFORD, TOWN OF",MIDDLESEX,18.1405142,1824,MA3056000,CHELMSFORD WATER DISTRICT,L,9,GW,1305,Entry Point to Dist. System,EP,,,2023/12/27 0:00:00,810-89127-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0077,SE1,AM,1,MA,"Riverneck WTP CHELMSFORD, TOWN OF 1824 MA ",42.6051253,-71.3204338,,1824
1775,STOW,NON UNIQUE,STOW,68015,North Acton WTP,"STOW, TOWN OF",MIDDLESEX,17.99819497,1775,MA2002000,ACTON WATER SUPPLY DISTRICT,L,30,GU,19252,Entry Point to Dist. System,EP,,,2024/01/05 0:00:00,810-89969-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0096,SE4,AM,1,MA,"North Acton WTP STOW, TOWN OF 1775 MA ",51.5219526,-0.2580821,,1775
2081,WALPOLE,NON UNIQUE,WALPOLE,72460,Edward J. Delaney WTP,"WALPOLE, TOWN OF",NORFOLK,17.88059135,2081,MA4307000,WALPOLE WATER DEPT,L,58,GW,10355,Entry Point to Dist. System,EP,,,2024/02/07 0:00:00,L2406618-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.004,SE2,AM,1,MA,"Edward J. Delaney WTP WALPOLE, TOWN OF 2081 MA ",42.1417442,-71.2495096,,2081
1969,ROWLEY,NON UNIQUE,ROWLEY,58370,HAVERHILL ST. GP WELL 2,"ROWLEY, TOWN OF",ESSEX,17.76656333,1969,MA3254000,ROWLEY WATER DEPARTMENT,S,325400002G,GW,10002,HAVERHILL ST. GP WELL # 2,EP,,,2023/07/10 0:00:00,105843P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0071,SE2,AM,1,MA,"HAVERHILL ST. GP WELL 2 ROWLEY, TOWN OF 1969 MA ",42.7058846,-70.9204544,,1969
2066,SCITUATE,NON UNIQUE,SCITUATE,60295,Treatment Plant,"SCITUATE, TOWN OF",PLYMOUTH,16.79866201,2066,MA4264000,SCITUATE WATER DIVISION,L,23,SW,2159,Entry Point to Dist. System,EP,,,2023/11/16 0:00:00,810-85505-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0053,SE4,AM,1,MA,"Treatment Plant SCITUATE, TOWN OF 2066 MA ",42.195929,-70.7258633,,2066
1778,WAYLAND,NON UNIQUE,WAYLAND,73755,Chamberlain GP Well,"WAYLAND, TOWN OF",MIDDLESEX,15.89426224,1778,MA3315000,WAYLAND WATER DEPARTMENT,L,18,GW,10008,Entry Point to Dist. System,EP,,,2023/10/18 0:00:00,L2362102-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.008,SE2,AM,1,MA,"Chamberlain GP Well WAYLAND, TOWN OF 1778 MA ",42.3625953,-71.3614484,,1778
1879,TYNGSBORO,NON UNIQUE,TYNGSBORO,70955,LOWELL REGIONAL WATER UTILITY PWS,"TYNGSBOROUGH, TOWN OF",MIDDLESEX,17.63680648,1879,MA3301000,TYNGSBOROUGH WATER DISTRICT,S,330100002P,SW,02P,PAWTUCKET BLVD P.S. (LOWELL METER),EP,,,2023/08/07 0:00:00,106668P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE3,AM,1,MA,"LOWELL REGIONAL WATER UTILITY PWS TYNGSBOROUGH, TOWN OF 1879 MA ",42.6334247,-71.3161718,,1879
1527,MILLBURY,NON UNIQUE,MILLBURY,41305,MILLBURY AVE DUG WELL (24 WIDE),"MILLBURY, TOWN OF",WORCESTER,16.44778635,1527,MA2186000,"AQUARION WATER COMPANY, MILLBURY",S,218600001G,GU,01G,TREATED: MILLBURY AVENUE WELL,EP,,,2023/09/26 0:00:00,107789P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0065,SE3,AM,1,MA,"MILLBURY AVE DUG WELL (24 WIDE) MILLBURY, TOWN OF 1527 MA ",42.2109531,-71.7569517,,1527
1522,JEFFERSON,NON UNIQUE,JEFFERSON,32590,Spring Street Well,"HOLDEN, TOWN OF",WORCESTER,15.86943088,1522,MA2134000,"HOLDEN WATER DIVISION, DPW",L,1,GW,19984,Entry Point to Dist. System,EP,,,2023/09/12 0:00:00,810-77463-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0041,SE2,AM,1,MA,"Spring Street Well HOLDEN, TOWN OF 1522 MA ",42.3688088,-71.8825597,,1522
2338,HALIFAX,NON UNIQUE,HALIFAX,27760,Well #2 Richmond Park,"HALIFAX, TOWN OF",PLYMOUTH,17.42146964,2338,MA4118000,HALIFAX WATER DEPARTMENT,S,411800002G,GW,10001,Well #2 Richmond Park,EP,,,2024/01/10 0:00:00,111972P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE1,AM,1,MA,"Well #2 Richmond Park HALIFAX, TOWN OF 2338 MA ",41.995102,-70.8328178,,2338
2668,WEST BARNSTABLE,NON UNIQUE,WEST BARNSTABLE,74805,GP WELL # 2,BARNSTABLE,BARNSTABLE,16.91601285,2668,MA4020000,BARNSTABLE FIRE DISTRICT,S,402000002G,GW,10008,WELL #2 AND WELL #5,EP,,,2023/02/07 0:00:00,101003P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE1,AM,1,MA,GP WELL # 2 BARNSTABLE 2668 MA ,41.7077733,-70.3717788,,2668
2339,HANOVER,NON UNIQUE,HANOVER,28250,Broadway TP,"HANOVER, TOWN OF",PLYMOUTH,15.61457403,2339,MA4122000,"HANOVER WATER DEPT, MA",L,45000,GW,40000,Entry Point to Dist. System,EP,,,2023/08/22 0:00:00,810-74993-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0052,SE1,AM,1,MA,"Broadway TP HANOVER, TOWN OF 2339 MA ",42.1051393,-70.8385003,,2339
2356,NORTH EASTON,NON UNIQUE,NORTH EASTON,47625,Well #1,"EASTON, TOWN OF",BRISTOL,14.25556434,2356,MA4088000,EASTON WATER DIV,L,90002,GW,90002,Entry Point to Dist. System,EP,,,2023/07/12 0:00:00,810-69492-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0077,SE2,AM,1,MA,"Well #1 EASTON, TOWN OF 2356 MA ",42.0245442,-71.1286594,,2356
1982,SOUTH HAMILTON,NON UNIQUE,SOUTH HAMILTON,64215,SCHOOL G.P. WELL,"HAMILTON, TOWN OF",ESSEX,14.81697173,1982,MA3119000,HAMILTON WATER DEPT,S,311900002G,GW,10003,SCHOOL G.P. WELL,EP,,,2023/10/02 0:00:00,108776P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0111,SE2,AM,1,MA,"SCHOOL G.P. WELL HAMILTON, TOWN OF 1982 MA ",42.6362052,-70.8431049,,1982
2375,SOUTH EASTON,NON UNIQUE,SOUTH EASTON,63725,Well #1,"EASTON, TOWN OF",BRISTOL,14.81273801,2375,MA4088000,EASTON WATER DIV,L,90002,GW,90002,Entry Point to Dist. System,EP,,,2023/07/12 0:00:00,810-69492-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0077,SE2,AM,1,MA,"Well #1 EASTON, TOWN OF 2375 MA ",42.0041954,-71.0854325,,2375
1570,WEBSTER,NON UNIQUE,WEBSTER,73930,Bigelow Road TP Station 3,"WEBSTER, TOWN OF",WORCESTER,14.5042978,1570,MA2316000,WEBSTER WATER DEPARTMENT,L,11,GW,03G,Entry Point to Dist. System,EP,,,2023/11/29 0:00:00,M3K1851-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE2,AM,1,MA,"Bigelow Road TP Station 3 WEBSTER, TOWN OF 1570 MA ",42.050091,-71.8800628,,1570
2184,BRAINTREE,NON UNIQUE,BRAINTREE,7700,Great Pond Treatment Plant,"BRAINTREE, TOWN OF",NORFOLK,14.42976096,2184,MA4040000,BRAINTREE WATER AND SEWER DEPT.,L,10182,SW,10182,Finished Water,EP,,,2023/06/26 0:00:00,Q2324399001,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0048,SE2,AM,1,MA,"Great Pond Treatment Plant BRAINTREE, TOWN OF 2184 MA ",42.1990439,-71.0453196,,2184
2054,MILLIS,NON UNIQUE,MILLIS,41480,WELL 3,"MILLIS, TOWN OF",NORFOLK,11.97150548,2054,MA2187000,MILLIS WATER DEPT,S,218700003G,GW,03G,FINISHED: WELL #3 VILLAGE ST. WTF,EP,,,2023/11/07 0:00:00,109530P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0065,SE2,AM,1,MA,"WELL 3 MILLIS, TOWN OF 2054 MA ",42.1669661,-71.351738,,2054
2762,PLAINVILLE,NON UNIQUE,PLAINVILLE,54065,"WELL 1, 1A,2, 2A, 5","PLAINVILLE, TOWN OF",NORFOLK,11.53309661,2762,MA4238000,PLAINVILLE WATER DEPARTMENT,S,10125G,GU,10005,"MULTIPLE WELLS#1,#2,#5",EP,,,2023/11/08 0:00:00,109541P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0043,SE4,AM,1,MA,"WELL 1, 1A,2, 2A, 5 PLAINVILLE, TOWN OF 2762 MA ",35.95178939,-74.76248266,,2762
2368,RANDOLPH,NON UNIQUE,RANDOLPH,55990,RANDOLPH/HOLBROOK WTP,"RANDOLPH, TOWN OF",NORFOLK,10.91509072,2368,MA4244000,RANDOLPH WATER DEPARTMENT,L,2,SW,EP001,EP001/EPTDS from Randolph/Holbrook WTP,EP,,,2024/01/16 0:00:00,810-91511-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0061,SE4,AM,1,MA,"RANDOLPH/HOLBROOK WTP RANDOLPH, TOWN OF 2368 MA ",42.176446,-71.051567,,2368
2492,NEEDHAM,NON UNIQUE,NEEDHAM,44140,Charles River WTP,"NEEDHAM, TOWN OF",NORFOLK,9.17900439,2492,MA3199000,NEEDHAM WATER DEPT,L,3,GW,10030,Entry Point to Dist. System,EP,,,2024/01/17 0:00:00,35854670003SE1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE1,AM,1,MA,"Charles River WTP NEEDHAM, TOWN OF 2492 MA ",42.2692626,-71.2790398,,2492
1719,BOXBOROUGH,NON UNIQUE,BOXBOROUGH,7350,North Acton WTP,"BOXBOROUGH, TOWN OF",MIDDLESEX,10.61615492,1719,MA2002000,ACTON WATER SUPPLY DISTRICT,L,30,GU,19252,Entry Point to Dist. System,EP,,,2024/01/05 0:00:00,810-89969-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0096,SE4,AM,1,MA,"North Acton WTP BOXBOROUGH, TOWN OF 1719 MA ",51.5219526,-0.2580821,,1719
1940,LYNNFIELD,NON UNIQUE,LYNNFIELD,37595,GLEN DRIVE WELL 1,"LYNNFIELD, TOWN OF",ESSEX,10.43136675,1940,MA3164000,LYNNFIELD CENTER WATER DISTRICT,S,316400005G,GW,10275,STA. #4 (GLEN DRIVE WELLS 5G-8G),EP,,,2023/11/07 0:00:00,109535P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0061,SE2,AM,1,MA,"GLEN DRIVE WELL 1 LYNNFIELD, TOWN OF 1940 MA ",42.5602954,-71.0521277,,1940
2675,YARMOUTH PORT,NON UNIQUE,YARMOUTH PORT,82595,GP WELL # 2,"YARMOUTH, TOWN OF",BARNSTABLE,8.78231514,2675,MA4020000,BARNSTABLE FIRE DISTRICT,S,402000002G,GW,10008,WELL #2 AND WELL #5,EP,,,2023/02/07 0:00:00,101003P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE1,AM,1,MA,"GP WELL # 2 YARMOUTH, TOWN OF 2675 MA ",41.7074026,-70.2348797,,2675
1860,MERRIMAC,NON UNIQUE,MERRIMAC,40395,BEAR HILL WELLS (SARGENT'S PIT),"MERRIMAC, TOWN OF",ESSEX,8.7044458,1860,MA3180000,MERRIMAC WATER DEPARTMENT,S,318000002G,GW,10543,BEAR HILL WELLS (SARGENT'S PIT),EP,,,2024/01/17 0:00:00,111958P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0069,SE1,AM,1,MA,"BEAR HILL WELLS (SARGENT'S PIT) MERRIMAC, TOWN OF 1860 MA ",42.8507468,-71.0026918,,1860
2632,CENTERVILLE,NON UNIQUE,CENTERVILLE,12085,GP WELL # 2,BARNSTABLE,BARNSTABLE,8.39696372,2632,MA4020000,BARNSTABLE FIRE DISTRICT,S,402000002G,GW,10008,WELL #2 AND WELL #5,EP,,,2023/02/07 0:00:00,101003P,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0044,SE1,AM,1,MA,GP WELL # 2 BARNSTABLE 2632 MA ,41.665176,-70.3479726,,2632
1904,LYNN,NON UNIQUE,LYNN,37490,Raymond Reardon WTP,LYNN,ESSEX,4.22888343,1904,MA3163000,LYNN WATER AND SEWER COMM,L,7,SW,11951,Entry Point to Dist. System,EP,,,2023/11/01 0:00:00,810-83569-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0047,SE4,AM,1,MA,Raymond Reardon WTP LYNN 1904 MA ,42.4941972,-70.9725123,,1904
1851,LOWELL,NON UNIQUE,LOWELL,37000,Lowell WTP,LOWELL,MIDDLESEX,3.35726061,1851,MA3160000,LOWELL REGIONAL WATER UTILITY,L,5,SW,1414,Entry Point to Dist. System,EP,,,2023/09/18 0:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE3,AM,1,MA,Lowell WTP LOWELL 1851 MA ,42.6325727,-71.3408707,,1851
1854,LOWELL,NON UNIQUE,LOWELL,37000,Lowell WTP,LOWELL,MIDDLESEX,3.97910135,1854,MA3160000,LOWELL REGIONAL WATER UTILITY,L,5,SW,1414,Entry Point to Dist. System,EP,,,2023/09/18 0:00:00,810-78194-1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE3,AM,1,MA,Lowell WTP LOWELL 1854 MA ,42.6460285,-71.3646236,,1854
1247,NORTH ADAMS,NON UNIQUE,NORTH ADAMS,46225,North Adams WTF,"MONROE, TOWN OF",FRANKLIN,8.12432666,1247,MA1209000,NORTH ADAMS WATER DEPT,L,10046,SW,EP1,351 pattison rd (clearwell),EP,,,2023/05/18 0:00:00,M3D0632-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0059,SE1,AM,1,MA,"North Adams WTF MONROE, TOWN OF 1247 MA ",42.700915,-73.1087148,,1247
2138,CAMBRIDGE,NON UNIQUE,CAMBRIDGE,11000,Walter J Sullivan WTP,CAMBRIDGE,MIDDLESEX,3.02587488,2138,MA3049000,CAMBRIDGE WATER DEPARTMENT,L,950,SW,950,Entry Point to Dist. System,EP,,,2023/12/05 0:00:00,M3K0309-01,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0048,SE2,AM,1,MA,Walter J Sullivan WTP CAMBRIDGE 2138 MA ,42.3803274,-71.1389101,,2138
2494,NEEDHAM HEIGHTS,NON UNIQUE,NEEDHAM HEIGHTS,44175,Charles River WTP,"NEEDHAM, TOWN OF",NORFOLK,3.01547389,2494,MA3199000,NEEDHAM WATER DEPT,L,3,GW,10030,Entry Point to Dist. System,EP,,,2024/01/17 0:00:00,35854670003SE1,PFOA,0.004,µg/L,EPA 533,#ERROR!,0.0046,SE1,AM,1,MA,"Charles River WTP NEEDHAM, TOWN OF 2494 MA ",42.3013553,-71.2339636,,2494
